NFR_ID,Chapter,Requirement Title,Requirements Description,Control Title,Control Description,Provide a detailed explanation of how the requirement is fulfilled
NFR_1.1.1  ,Security,Use EntraID for User Authentication in Internal Systems,"User authentication for all corporate systems must be carried out using EntraID (Microsoft Entra ID), ensuring a secure and centralized identity management solution.",Use EntraID Centralized IdP for Internal IT Systems,"EntraID serves as a centralized identity provider, ensuring security by maintaining control over user credentials, enforcing corporate identity policies, and providing a consistent authentication method across all non customer facing systems.",
NFR_1.1.2,Security,Use EntraID for User Authorization in Internal Systems,"User authorization for all corporate systems must be managed through EntraID (Microsoft Entra ID), ensuring consistent and secure access control across applications.",Use EntraID Centralized Authorization Management,"EntraID provides centralized authorization management by defining and enforcing access permissions, roles, and conditional policies, ensuring that users are only granted the necessary privileges for their roles and responsibilities.",
NFR_1.1.3,Security,Enable Single Sign-On (SSO) Functionality,"All corporate applications must support Single Sign-On (SSO) functionality to allow users to authenticate once and gain access to multiple applications without needing to log in again for each application. Internal Applications must integrate with EntraID, thus external (customer facing) must use Enefit External SSO.",Use Single Sign-On via Centralized Identity Provider,"SSO functionality is integrated with EntraID or External Enefit SSO, providing a secure and centralized authentication mechanism that reduces the need for repeated logins, minimizing credential exposure and enhancing user convenience while maintaining security through centralized control.",
NFR_1.1.4,Security,Implement SSO with Secure Methods,"Single Sign-On (SSO) must be implemented using secure methods, ensuring that user authentication and session management are protected from unauthorized access and other security vulnerabilities.",Secure SSO Protocols and Encryption,"SSO implementation must utilize secure protocols, such as OpenID Connect (OIDC), OAuth 2.0, or SAML, along with encryption techniques to protect authentication tokens and ensure secure transmission of data between identity provider (e.g., EntraID, Enefit SSO) and applications.",
NFR_1.1.9,Security,Standardize Error Messaging for Authentication,"Authentication and registration processes must not disclose specific information regarding account existence or password validity. Instead, a single, generic error message should be presented to the user for all login failures, ensuring that potential attackers cannot gain insights into account status or credentials.",Generic Error Messaging Control for IAM events,"Enforce the use of a standardized error message for authentication failures, which does not reveal whether an account exists or if the password is incorrect. This reduces the risk of user enumeration attacks and protects user account information.",
NFR_1.1.16,Security,Implement Access Control for REST APIs ,"All REST API solutions must implement access control mechanisms by utilizing authentication keys. This ensures that only authorized users and applications can access API endpoints, enhancing security and protecting sensitive data.",Secure Authentication Key Management for API Access,"Authentication keys for REST API access must be generated, securely stored, and managed using industry best practices. This includes using strong, randomly generated keys, implementing key rotation policies to regularly update keys, and employing environment variables or secure vaults (e.g., HashiCorp Vault, Secret Server) for key storage. User Oauth2.0 or JWT as authentication mechanism",
NFR_1.1.17,Security,Scope and Define User and Service Access,User and service access must be properly scoped and defined to ensure that permissions are granted based on specific needs. Access control mechanisms must include the design and implementation of access control lists (ACLs) and role-based access control (RBAC) to manage and enforce access policies effectively.,Access Control Design,"Access control lists (ACLs) and role-based access control (RBAC) must be designed and implemented to define and restrict user and service access based on their roles and responsibilities. ACLs will specify which users or services have permission to access specific resources, while RBAC will categorize users into roles, each with defined permissions tailored to their operational needs. ",
NFR_1.1.18,Security,Protect Authentication Secrets at Rest and During Transfer,"All authentication secrets (including passwords, PINs, keys, salts, certificates, and access tokens) must be protected both at rest and during transfer. This includes strict policies to prevent unencrypted secrets in code, logs, or unsecured environments, and ensuring that secrets are fetched securely from a central vault.",Secure Management of Authentication Secrets,"Authentication secrets must be managed using industry best practices to ensure their confidentiality and integrity. This includes:

Prohibiting the use of unencrypted secrets in code, ensuring that no hardcoded secrets are present.
Dynamically fetching secrets from a centralized secret vault (e.g., HashiCorp Vault,  Secrets Server) to prevent hardcoding.
Storing secrets, keys, salts, and certificates only in secure environments, avoiding any unsecured storage solutions.
Implementing logging controls to ensure that no unencrypted secrets are logged, protecting against data leaks.
Using secure protocols (e.g., TLS) for all connections that transmit secrets, preventing exposure during transfer.",
NFR_1.1.19,Security,Implement Multifactor Authentication,All systems and applications that provide user authentication must implement multifactor authentication (MFA)  to enhance security.,Secure MFA Implementation,Multifactor authentication must be enforced for all systems and applications that handle user authentication. IT system that utilise Centralized IdP must ensure that MFA is enforced for the IT System scope.,
NFR_1.2.1 ,Security,Restrict External Code in Web Applications,Web applications must not include code that runs from external sources not hosted by Eesti Energia. This requirement aims to prevent the introduction of vulnerabilities or malicious code that could compromise the security and integrity of the application.,Dependacy Resiliency for Web Applications,All web applications must implement strict controls to ensure that no code is executed from external sources not hosted by Eesti Energia. Implement security measures such as Content Security Policy (CSP) to restrict the execution of scripts from unauthorized domains and to mitigate cross-site scripting (XSS) attacks.,
